Tool ID,Tool Class,Tool Name,Confidence,Sample ID,Filepath,Image ID,Instance ID,BBox X,BBox Y,BBox Width,BBox Height,Mask Path,Mask Index,Visibility,Reviewed,Annotation Complete,Mask Valid,Class Valid,Base Valid,Visible,Annotation Confidence
0,scissors,iris,0.8,0,images/0/IMG_8585.jpg,image-241ea1b4d217d125,instance-0,1159,567,185,524,masks/images/0/IMG_8585.npz,0,clear,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.0
0,scissors,iris,0.8,0,images/0/IMG_8586.jpg,image-7d5a24cb4a7e30a4,instance-0,1081,606,299,492,masks/images/0/IMG_8586.npz,0,clear,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.0
0,scissors,iris,0.8,0,images/0/IMG_8588.jpg,image-b30e43e06066f659,instance-0,1003,739,519,183,masks/images/0/IMG_8588.npz,0,clear,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.0
0,scissors,iris,0.8,0,images/0/IMG_8589.jpg,image-03fd859217391918,instance-0,1031,732,428,394,masks/images/0/IMG_8589.npz,0,clear,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.0
0,scissors,iris,0.8,0,images/0/IMG_8590.jpg,image-75c6191b19b1d8fd,instance-0,1160,699,188,531,masks/images/0/IMG_8590.npz,0,clear,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.0
0,scissors,iris,0.8,0,images/0/IMG_8591.jpg,image-3ebefc2965298abf,instance-0,1009,722,430,395,masks/images/0/IMG_8591.npz,0,clear,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.0
0,scissors,iris,0.8,0,images/0/IMG_8594.jpg,image-24ae4d8eac215d46,instance-0,986,809,523,187,masks/images/0/IMG_8594.npz,0,clear,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.0
0,scissors,iris,0.8,0,images/0/IMG_8595.jpg,image-c92984aa153892de,instance-0,1088,734,436,384,masks/images/0/IMG_8595.npz,0,clear,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.0
0,scissors,iris,0.8,1,images/0/IMG_8624.jpg,image-bbaec2e74ea8bbf3,instance-0,956,672,504,435,masks/images/0/IMG_8624.npz,0,clear,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.0
0,scissors,iris,0.8,1,images/0/IMG_8625.jpg,image-e3e05fd88b6fc50c,instance-0,942,712,514,507,masks/images/0/IMG_8625.npz,0,clear,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.0
